PassengerId,Survived,Pclass,Sex,Age2,FamilySize,Cabin,Embarked
770,0,3,male,32.0,1,U,S
771,0,3,male,24.0,1,U,S
772,0,3,male,48.0,1,U,S
773,0,2,female,57.0,1,E,S
774,0,3,male,32.0,1,U,C
775,1,2,female,54.0,5,U,S
776,0,3,male,18.0,1,U,S
777,0,3,male,32.0,1,F,Q
778,1,3,female,5.0,1,U,S
779,0,3,male,32.0,1,U,Q
780,1,1,female,43.0,2,B,S
781,1,3,female,13.0,1,U,C
782,1,1,female,17.0,2,B,S
783,0,1,male,29.0,1,D,S
784,0,3,male,32.0,4,U,S
785,0,3,male,25.0,1,U,S
786,0,3,male,25.0,1,U,S
787,1,3,female,18.0,1,U,S
788,0,3,male,8.0,6,U,Q
789,1,3,male,1.0,4,U,S
790,0,1,male,46.0,1,B,C
791,0,3,male,32.0,1,U,Q
792,0,2,male,16.0,1,U,S
793,0,3,female,22.0,11,U,S
794,0,1,male,32.0,1,U,C
795,0,3,male,25.0,1,U,S
796,0,2,male,39.0,1,U,S
797,1,1,female,49.0,1,D,S
798,1,3,female,31.0,1,U,S
799,0,3,male,30.0,1,U,C
800,0,3,female,30.0,3,U,S
801,0,2,male,34.0,1,U,S
802,1,2,female,31.0,3,U,S
803,1,1,male,11.0,4,B,S
804,1,3,male,0.0,2,U,C
805,1,3,male,27.0,1,U,S
806,0,3,male,31.0,1,U,S
807,0,1,male,39.0,1,A,S
808,0,3,female,18.0,1,U,S
809,0,2,male,39.0,1,U,S
810,1,1,female,33.0,2,E,S
811,0,3,male,26.0,1,U,S
812,0,3,male,39.0,1,U,S
813,0,2,male,35.0,1,U,S
814,0,3,female,6.0,7,U,S
815,0,3,male,30.0,1,U,S
816,0,1,male,32.0,1,B,S
817,0,3,female,23.0,1,U,S
818,0,2,male,31.0,3,U,C
819,0,3,male,43.0,1,U,S
820,0,3,male,10.0,6,U,S
821,1,1,female,52.0,3,B,S
822,1,3,male,27.0,1,U,S
823,0,1,male,38.0,1,U,S
824,1,3,female,27.0,2,E,S
825,0,3,male,2.0,6,U,S
826,0,3,male,32.0,1,U,Q
827,0,3,male,32.0,1,U,S
828,1,2,male,1.0,3,U,C
829,1,3,male,32.0,1,U,Q
830,1,1,female,62.0,1,B,
831,1,3,female,15.0,2,U,C
832,1,2,male,1.0,3,U,S
833,0,3,male,32.0,1,U,C
834,0,3,male,23.0,1,U,S
835,0,3,male,18.0,1,U,S
836,1,1,female,39.0,3,E,C
837,0,3,male,21.0,1,U,S
838,0,3,male,32.0,1,U,S
839,1,3,male,32.0,1,U,S
840,1,1,male,32.0,1,C,C
841,0,3,male,20.0,1,U,S
842,0,2,male,16.0,1,U,S
843,1,1,female,30.0,1,U,C
844,0,3,male,34.0,1,U,C
845,0,3,male,17.0,1,U,S
846,0,3,male,42.0,1,U,S
847,0,3,male,32.0,11,U,S
848,0,3,male,35.0,1,U,C
849,0,2,male,28.0,2,U,S
850,1,1,female,36.0,2,C,C
851,0,3,male,4.0,7,U,S
852,0,3,male,74.0,1,U,S
853,0,3,female,9.0,3,U,C
854,1,1,female,16.0,2,D,S
855,0,2,female,44.0,2,U,S
856,1,3,female,18.0,2,U,S
857,1,1,female,45.0,3,U,S
858,1,1,male,51.0,1,E,S
859,1,3,female,24.0,4,U,C
860,0,3,male,32.0,1,U,C
861,0,3,male,41.0,3,U,S
862,0,2,male,21.0,2,U,S
863,1,1,female,48.0,1,D,S
864,0,3,female,22.0,11,U,S
865,0,2,male,24.0,1,U,S
866,1,2,female,42.0,1,U,S
867,1,2,female,27.0,2,U,C
868,0,1,male,31.0,1,A,S
869,0,3,male,32.0,1,U,S
870,1,3,male,4.0,3,U,S
871,0,3,male,26.0,1,U,S
872,1,1,female,47.0,3,D,S
873,0,1,male,33.0,1,B,S
874,0,3,male,47.0,1,U,S
875,1,2,female,28.0,2,U,C
876,1,3,female,15.0,1,U,C
877,0,3,male,20.0,1,U,S
878,0,3,male,19.0,1,U,S
879,0,3,male,32.0,1,U,S
880,1,1,female,56.0,2,C,C
881,1,2,female,25.0,2,U,S
882,0,3,male,33.0,1,U,S
883,0,3,female,22.0,1,U,S
884,0,2,male,28.0,1,U,S
885,0,3,male,25.0,1,U,S
886,0,3,female,39.0,6,U,Q
887,0,2,male,27.0,1,U,S
888,1,1,female,19.0,1,B,S
889,0,3,female,22.0,4,U,S
890,1,1,male,26.0,1,C,C
891,0,3,male,32.0,1,U,Q
